,Id,SalePrice
0,1,197988.59645601158
1,2,175881.32371293285
2,3,205299.09734713798
3,4,178184.75068152888
4,5,280238.80180736526
5,6,143612.7904366432
6,7,272856.6734472873
7,8,216475.46602345418
8,9,133234.20363143386
9,10,123670.39570472132
10,11,122762.41810452259
11,12,351289.33196023945
12,13,123621.31856773603
13,14,216300.35032366915
14,15,145379.68452187866
15,16,132321.12217263403
16,17,148426.9460139578
17,18,107863.59021512928
18,19,142948.04073431488
19,20,122252.80418345553
20,21,304496.82591267116
21,22,128143.35254548337
22,23,225710.42345354735
23,24,131386.06937946193
24,25,142793.97409735183
25,26,246417.64614755084
26,27,124722.32476576911
27,28,294992.0311233094
28,29,182934.21254013694
29,30,73856.3392943444
30,31,76643.05581925095
31,32,135222.57194123947
32,33,193171.30006966504
33,34,165628.8789909807
34,35,279752.53424988966
35,36,293205.7959388583
36,37,142934.57269996073
37,38,151571.24265647586
38,39,124818.99235646277
39,40,80144.86728415852
40,41,140842.9511810237
41,42,150804.68845391384
42,43,139985.78738999445
43,44,121805.18255606007
44,45,133395.12401179745
45,46,276295.3574516317
46,47,265320.9249720491
47,48,227339.99336393568
48,49,89491.35946593802
49,50,128124.12796186077
50,51,162633.63017118472
51,52,124613.72917365836
52,53,98691.12814784535
53,54,320243.233521714
54,55,117146.89740382254
55,56,160603.27286312508
56,57,202733.5980513235
57,58,186413.8987043924
58,59,407644.1778562244
59,60,114252.11080641494
60,61,159195.7572560065
61,62,96514.56155626844
62,63,203753.60541391032
63,64,127903.92370677089
64,65,227133.33502994792
65,66,284754.1096485862
66,67,250523.29786076778
67,68,204919.70727538184
68,69,85174.12671859395
69,70,221785.43331646817
70,71,272484.446189102
71,72,118655.13423949007
72,73,190678.44190919562
73,74,135876.23155548502
74,75,96231.40901346778
75,76,90845.08262444717
76,77,109609.45608804234
77,78,113989.79614410982
78,79,116769.87245054034
79,80,111878.61140711208
80,81,183030.69306418364
81,82,161227.5683638242
82,83,236336.49052784534
83,84,119332.43287498184
84,85,163117.53700221993
85,86,261011.34192232168
86,87,168117.6562479138
87,88,149032.60911923271
88,89,55510.8507637159
89,90,117907.39975553873
90,91,97853.47252104596
91,92,112944.04863571908
92,93,133900.82840352503
93,94,146631.04762492536
94,95,178669.81906887706
95,96,166786.09305862998
96,97,207561.77496672663
97,98,115843.71379058059
98,99,76707.3927516637
99,100,108899.09718410022
100,101,198193.574183427
101,102,160442.76517932647
102,103,116491.31706787331
103,104,181850.02567143348
104,105,143690.83120452744
105,106,241199.4556775269
106,107,93006.56296540967
107,108,90514.62587819673
108,109,112061.32944558159
109,110,192082.89180547046
110,111,134115.27397296802
111,112,170709.233076797
112,113,313393.8969671817
113,114,202718.83520893485
114,115,200937.55899320226
115,116,156311.28132132321
116,117,123376.24962566861
117,118,138638.20370717376
118,119,341856.5293457534
119,120,164987.3416976966
120,121,146668.47387897194
121,122,89432.9549746345
122,123,137514.60232102155
123,124,151898.6730675055
124,125,163995.33683130873
125,126,91108.16268982107
126,127,126906.51780456763
127,128,88888.78089040406
128,129,138710.93788873556
129,130,125536.6111508687
130,131,210521.56685572094
131,132,197765.4491124964
132,133,140921.4441810979
133,134,210927.6499139088
134,135,168305.3489611661
135,136,180893.59016863987
136,137,135978.62243916633
137,138,175952.71009235867
138,139,232260.25371652073
139,140,183362.3838911327
140,141,100988.29332777577
141,142,236059.99278111142
142,143,113634.30238153934
143,144,212077.2426984911
144,145,145312.65234553136
145,146,125208.46709571553
146,147,105479.6884542534
147,148,210053.93052125437
148,149,151169.11228898395
149,150,102539.0094349
